Record_ID,Auction_ID,Bidder_ID,Bidder_Tendency,Bidding_Ratio,Successive_Outbidding,Last_Bidding,Auction_Bids,Starting_Price_Average,Early_Bidding,Winning_Ratio,Auction_Duration,Class
1,732,_***i,0.2,0.4,0,2.77778E-05,0,0.993592814,2.77778E-05,0.666666667,5,0
2,732,g***r,0.024390244,0.2,0,0.013122685,0,0.993592814,0.013122685,0.944444444,5,0
3,732,t***p,0.142857143,0.2,0,0.003041667,0,0.993592814,0.003041667,1,5,0
4,732,7***n,0.1,0.2,0,0.097476852,0,0.993592814,0.097476852,1,5,0
5,900,z***z,0.051282051,0.222222222,0,0.001317791,0,0,0.001241733,0.5,7,0
8,900,i***e,0.038461538,0.111111111,0,0.016843585,0,0,0.016843585,0.8,7,0
10,900,m***p,0.4,0.222222222,0,0.006780754,0,0,0.00677414,0.75,7,0
12,900,k***a,0.137931034,0.444444444,1,0.768043982,0,0,0.016311177,1,7,1
13,2370,g***r,0.12195122,0.185185185,1,0.035021495,0.333333333,0.993528095,0.023963294,0.944444444,7,1
27,600,e***t,0.155172414,0.346153846,0.5,0.570993717,0.307692308,0.993592814,0.413788029,0.611111111,7,1
37,2172,o***u,0.6,0.5625,1,0.457630622,0,0,0.457473545,0.6,7,1
38,1370,7***3,0.5,0.105263158,0,0.02869213,0.052631579,0,0.028654101,0.666666667,7,0
39,1370,i***r,0.017241379,0.052631579,0,0.057655423,0.052631579,0,0.057655423,0,7,0
40,2236,i***i,0.041322314,0.208333333,1,0.286044974,0.25,0,0.286025132,0.818181818,7,1
43,2236,_***r,0.142857143,0.041666667,0,0.387347884,0.25,0,0.387347884,0,7,0
44,2236,e***e,0.007246377,0.041666667,0,0.547427249,0.25,0,0.547427249,0,7,0
45,2236,a***n,0.01,0.041666667,0,0.589285714,0.25,0,0.589285714,0,7,0
46,2236,t***s,0.025641026,0.041666667,0,0.912638889,0.25,0,0.912638889,0,7,0
53,2370,i***m,0.172413793,0.185185185,1,0.133783069,0.333333333,0.993528095,0.048748347,0.933333333,7,1
54,2370,s***i,0.010309278,0.037037037,0,0.13099537,0.333333333,0.993528095,0.13099537,0,7,0
59,181,p***b,0.25,0.111111111,0,0.994641204,0,0,0.646851852,1,1,0
65,181,i***0,0.023255814,0.055555556,0,0.917951389,0,0,0.917951389,0,1,0
67,432,g***s,0.041666667,0.142857143,0,0.107607474,0,0,0.107607474,0.842105263,7,0
68,432,0***0,0.111111111,0.714285714,0.5,0.055500992,0,0,0.053763228,0.818181818,7,1
71,1370,o***-,0.25,0.052631579,0,0.333923611,0.052631579,0,0.333923611,0,7,0
72,1370,0***e,0.052631579,0.157894737,0,0.460965609,0.052631579,0,0.319750331,0.793103448,7,0
73,1968,9***r,1,0.6,0.5,0.000201389,0,0,4.86111E-05,0,5,0
85,522,u***0,0.142857143,0.041666667,0,0.000316358,0.25,0.993592814,0.000316358,0,3,0
88,522,r***a,0.017391304,0.083333333,0,0.662307099,0.25,0.993592814,0.000212191,0,3,0
90,1847,9***m,1,0.090909091,0.5,0.930026455,0.454545455,0,0.929990079,0,7,0
93,1847,t***o,0.045454545,0.03030303,0,0.974153439,0.454545455,0,0.974153439,0,7,0
103,522,0***e,0.070175439,0.166666667,0,0.347920525,0.25,0.993592814,0.347881944,0.793103448,3,0
107,522,a***_,0.066666667,0.041666667,0,0.765763889,0.25,0.993592814,0.765763889,0,3,0
108,522,n***u,0.222222222,0.083333333,0,0.884131944,0.25,0.993592814,0.765652006,0,3,0
109,522,r***0,0.052631579,0.041666667,0,0.827561728,0.25,0.993592814,0.827561728,0,3,0
111,547,t***c,0.043478261,0.166666667,0,0.056413691,0,0,0.056413691,0.8,7,0
113,143,h***m,0.157894737,0.375,0,0.523162037,0,0,0.000305556,0.727272727,5,0
114,547,w***n,0.571428571,0.666666667,0.5,0.00197586,0,0,0.00197586,1,7,1
116,143,c***r,0.052631579,0.125,0,0.024541667,0,0,0.024541667,1,5,0
117,2419,o***o,0.009803922,0.023809524,0,0.991195437,0.571428571,0.993528095,0.991195437,0,7,0
129,2076,r***b,0.210526316,0.235294118,0,3.80291E-05,0,0,8.2672E-06,0.833333333,7,0
130,2165,e***z,0.481481481,0.26,1,0.930847222,0.64,0.993592814,0.927180556,0.666666667,5,1
132,461,i***4,0.103448276,0.136363636,0,0.69020668,0.181818182,0.993592814,0.69020172,0.8,7,0
133,461,r***n,0.058823529,0.045454545,0,0.158763228,0.181818182,0.993592814,0.158763228,0,7,0
134,461,c***i,0.022727273,0.045454545,0,0.577357804,0.181818182,0.993592814,0.577357804,0,7,0
135,2076,n***n,0.025974026,0.117647059,0,1.15741E-05,0,0,3.3069E-06,0.833333333,7,0
137,2076,n***s,0.043478261,0.058823529,0,0.007362765,0,0,0.007362765,0,7,0
138,368,3***3,0.071428571,0.025,0,0.851111111,0.55,0.993592814,0.851111111,0,5,0
